"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","Fld","BsR","-1","WAR","playerid"
"Brad Miller","TEX","103","443","386","91","16","2","20","56","57","49","123","3","3","1","",".235",".323",".446",".769",".329","","-1.5","-0.8","","1.7","12775"
"Josh Rojas","ARI","115","496","429","104","25","3","11","61","47","56","114","3","11","4","",".242",".332",".389",".722",".316","","0.6","1.0","","1.7","19734"
"Teoscar Hernández","TOR","112","486","442","116","23","1","26","67","80","35","130","5","7","3","",".263",".322",".495",".817",".346","","-2.1","0.1","","1.7","13066"
"Omar Narváez","MIL","91","360","317","79","14","0","11","39","40","36","74","5","0","0","",".249",".332",".393",".725",".315","","-0.9","-0.7","","1.7","13338"
"Jonathan Schoop","DET","132","569","529","137","26","2","21","69","69","27","114","8","2","0","",".260",".303",".433",".736",".315","","-3.0","-0.2","","1.6","11265"
"Roberto Pérez","PIT","103","408","356","73","12","1","13","40","43","42","124","4","1","0","",".205",".293",".350",".643",".284","","5.6","-1.1","","1.6","2900"
"Andy Ibáñez","TEX","112","483","440","115","23","2","14","56","52","33","79","4","3","2","",".260",".315",".414",".729",".314","","1.7","-1.0","","1.6","18819"
"Isiah Kiner-Falefa","NYY","119","512","471","124","22","3","8","59","46","28","76","8","13","4","",".264",".313",".369",".682",".297","","-0.6","0.9","","1.5","16512"
"Kevin Kiermaier","TBR","109","470","425","97","20","6","9","53","47","34","118","6","11","5","",".228",".293",".366",".659",".286","","5.9","0.5","","1.5","11038"
"Tommy La Stella","SFG","89","383","341","93","18","2","10","48","41","33","40","4","2","1","",".271",".339",".424",".763",".330","","-1.7","-0.8","","1.5","12371"
"Yuli Gurriel","HOU","131","565","512","142","29","1","15","69","71","44","70","5","2","1","",".278",".338",".427",".765",".330","","-0.8","-1.3","","1.5","19198"
"Jorge Soler","MIA","133","575","497","114","24","0","29","74","72","65","153","7","2","1","",".230",".326",".454",".780",".335","","-2.5","-1.6","","1.5","14221"
"Tommy Pham","CIN","115","496","426","108","21","2","17","65","56","62","110","4","13","4","",".254",".353",".431",".784",".340","","-0.8","0.7","","1.5","2967"
"Alejandro Kirk","TOR","88","362","317","82","18","0","13","43","44","37","50","4","1","0","",".257",".340",".440",".779",".336","","-0.7","-0.5","","1.5","22581"
"Christian Vázquez","BOS","90","354","325","83","16","1","8","38","38","23","66","2","5","2","",".256",".306",".387",".693",".300","","2.3","-1.1","","1.5","9774"
"Riley Greene","DET","78","337","297","74","14","3","11","40","39","32","94","4","4","2","",".249",".328",".424",".751",".324","","0.0","-0.2","","1.4","sa3010694"
